equipo_local_id,equipo_visitante_id,fecha,equipo_local_id,equipo_visitante_id,loc_for_prev5,loc_against_prev5,loc_for_prev10,loc_against_prev10,vis_for_prev5,vis_against_prev5,vis_for_prev10,vis_against_prev10,diff_for_prev5,diff_against_prev5,diff_for_prev10,diff_against_prev10
1,5,2020-08-16,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,2020-08-18,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,2020-08-19,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,2020-08-20,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,2020-08-23,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12,2020-08-25,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2020-08-26,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,2020-08-26,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,14,2020-08-28,12,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10,2020-08-29,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,5,2020-08-29,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2020-08-29,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2,2020-08-30,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,11,2020-08-30,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,6,2020-09-01,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14,2020-09-01,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12,2020-09-01,0,12,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
2,4,2020-09-02,2,4,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0
11,13,2020-09-02,11,13,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
3,7,2020-09-02,3,7,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,-0.3333333333333333
1,9,2020-09-02,1,9,0.25,0.0,0.25,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.25,-0.6666666666666666,0.25,-0.6666666666666666
6,0,2020-09-04,6,0,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.16666666666666666,-0.2222222222222222,-0.16666666666666666,-0.2222222222222222
3,5,2020-09-05,3,5,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.6666666666666666,-0.3333333333333333
14,2,2020-09-05,14,2,0.5,0.0,0.5,0.0,0.41666666666666663,0.16666666666666666,0.41666666666666663,0.16666666666666666,0.08333333333333337,-0.16666666666666666,0.08333333333333337,-0.16666666666666666
9,10,2020-09-06,9,10,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666
12,11,2020-09-06,12,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,-0.6666666666666667,0.0,-0.6666666666666667,0.0
4,7,2020-09-06,4,7,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.2222222222222222,-0.3333333333333333,0.2222222222222222,-0.3333333333333333
14,0,2020-09-09,14,0,0.9444444444444443,0.4074074074074074,0.9444444444444443,0.4074074074074074,0.25,0.6666666666666666,0.25,0.6666666666666666,0.6944444444444443,-0.25925925925925924,0.6944444444444443,-0.25925925925925924
