fecha,estadio,local,visitante,score,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,fuera_de_juego_local,fuera_de_juego_visitante,corners_local,corners_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,tiros_fuera_local,tiros_fuera_visitante,intentos_a_porteria_local,intentos_a_porteria_visitante,atajadas_local,atajadas_visitante,faltas_local,faltas_visitante,penales_local,penales_visitante,tiros_bloqueados_local,tiros_bloqueados_visitante,ataques_peligrosos_local,ataques_peligrosos_visitante,ataques_local,ataques_visitante,faltas_totales,tarjetas_amarillas_totales,tarjetas_rojas_totales,tarjetas_totales,tiros_esquina_totales,avg_local_corners_local,avg_visitante_corners_visitante,avg_visitante_corners_conceded,avg_local_corners_conceded,expected_corners,diff_corners_strength,equipo_local_id,equipo_visitante_id,local_avg_last5,visitante_avg_last5,local_corner_category,visitante_corner_category,ratio_ataques_peligrosos,eficiencia_corner_local,local_avg_last3,visitante_avg_last3,diff_last3_vs_last5_local,diff_last3_vs_last5_visitante,consistencia_corners_local,last3_vs_media_liga,local_last1,visitante_last1,corners_vs_rival,posesion_x_ataques_peligrosos,ratio_corners_last5
2020-12-30,Estadio Rodrigo Paz Delgado,LDU de Quito,Barcelona SC,0 - 0,2,4,0.0,0.0,0.62,0.38,1.0,0.0,8,5,7.0,6.0,6.0,4.0,13.0,10.0,6.0,7.0,14.0,12.0,0.0,0.0,1.0,2.0,56.0,39.0,77.0,76.0,26.0,6,0.0,6.0,13,5.970149253731344,4.320754716981132,4.60377358490566,3.4328358208955225,5.145451985356238,1.3663756688256834,5,0,8.0,5.0,2,1,1.435897399079554,1.14285697959186,8.0,5.0,0.0,0.0,0.9999998750000157,1.5466393352023233,5.970149253731344,4.320754716981132,,34.72,1.599999680000064
2020-12-20,Estadio Banco del Pacífico George Capwell,Emelec,CD Olmedo,4 - 1,4,4,0.0,0.0,0.63,0.37,7.0,2.0,7,2,13.0,3.0,8.0,2.0,21.0,5.0,2.0,9.0,19.0,15.0,1.0,0.0,0.0,1.0,71.0,35.0,100.0,77.0,34.0,8,0.0,8.0,9,6.345454545454546,2.789473684210526,5.684210526315789,3.418181818181818,4.567464114832536,0.6612440191387563,4,1,7.0,2.0,2,0,2.0285713706122466,0.5384614970414233,7.0,2.0,0.0,0.0,0.9999998571428775,1.3533094183020329,6.345454545454546,2.789473684210526,6.666666666666667,44.73,3.499998250000875
2020-12-20,Estadio 9 de Mayo,Orense SC,El Nacional,1 - 0,3,1,0.0,0.0,0.48,0.52,3.0,2.0,3,8,7.0,8.0,3.0,2.0,10.0,10.0,8.0,7.0,13.0,21.0,0.0,0.0,0.0,1.0,41.0,40.0,74.0,75.0,34.0,4,0.0,4.0,11,5.6521739130434785,4.085106382978723,5.574468085106383,3.449275362318841,4.868640148011101,0.07770582793709568,15,2,3.0,8.0,0,2,1.0249999743750007,0.4285713673469475,3.0,8.0,0.0,0.0,0.9999996666667778,0.5799897507008712,5.6521739130434785,4.085106382978723,8.5,19.68,0.3749999531250059
2020-12-17,Estadio Olímpico de Riobamba,CD Olmedo,LDU Portoviejo,1 - 3,5,1,0.0,0.0,0.45,0.55,4.0,5.0,4,1,3.0,4.0,11.0,6.0,14.0,10.0,1.0,2.0,16.0,9.0,1.0,1.0,1.0,1.0,51.0,49.0,92.0,93.0,25.0,6,0.0,6.0,5,4.15,2.8,5.3,4.65,3.475,-1.1499999999999995,1,3,4.0,1.0,1,0,1.0408163052894632,1.333332888889037,4.0,1.0,0.0,0.0,0.9999997500000625,0.7733196676011617,4.15,2.8,6.0,22.95,3.9999960000040002
2020-12-16,Estadio Alejandro Serrano Aguilar Banco del Austro,Deportivo Cuenca,Emelec,2 - 1,6,2,1.0,0.0,0.37,0.63,2.0,0.0,4,9,4.0,6.0,0.0,7.0,4.0,13.0,5.0,2.0,18.0,17.0,0.0,0.0,1.0,4.0,25.0,60.0,69.0,86.0,35.0,8,1.0,9.0,13,4.672727272727273,3.912280701754386,5.2631578947368425,4.090909090909091,4.2925039872408295,-0.5904306220095696,10,4,4.0,9.0,1,2,0.41666665972222233,0.9999997500000625,4.0,9.0,0.0,0.0,0.9999997500000625,0.7733196676011617,4.672727272727273,3.912280701754386,4.0,9.25,0.44444439506173394
2020-12-16,Estadio Jocay,Delfin,LDU de Quito,2 - 0,1,1,0.0,0.0,0.38,0.62,2.0,1.0,2,9,4.0,2.0,2.0,6.0,6.0,8.0,2.0,2.0,22.0,18.0,0.0,0.0,2.0,1.0,34.0,50.0,79.0,91.0,40.0,2,0.0,2.0,11,4.75,4.746031746031746,4.809523809523809,4.232142857142857,4.7480158730158735,-0.05952380952380931,9,5,2.0,9.0,0,2,0.6799999864000003,0.49999987500003124,2.0,9.0,0.0,0.0,0.99999950000025,0.38665983380058083,4.75,4.746031746031746,5.8,12.92,0.22222219753086697
2020-12-16,Estadio Monumental Banco Pichincha,Barcelona SC,Mushuc Runa SC,3 - 0,2,5,0.0,0.0,0.53,0.47,0.0,1.0,8,7,10.0,3.0,4.0,1.0,14.0,4.0,3.0,7.0,20.0,15.0,1.0,0.0,2.0,2.0,53.0,38.0,68.0,63.0,35.0,7,0.0,7.0,15,5.672727272727273,4.5625,5.578125,3.8181818181818183,5.117613636363636,0.09460227272727284,0,6,8.0,7.0,2,2,1.3947368054016631,0.7999999200000081,8.0,7.0,0.0,0.0,0.9999998750000157,1.5466393352023233,5.672727272727273,4.5625,4.6,28.09,1.14285697959186
2020-12-13,Estadio Christian Benítez Betancourt,Guayaquil City,Independiente del Valle,0 - 2,4,3,1.0,0.0,0.36,0.64,2.0,2.0,1,8,1.0,17.0,0.0,5.0,1.0,22.0,15.0,1.0,15.0,15.0,0.0,1.0,0.0,1.0,23.0,70.0,81.0,105.0,30.0,7,1.0,8.0,9,3.257142857142857,5.5,3.696969696969697,4.9714285714285715,4.378571428571428,-0.4398268398268397,11,7,1.0,8.0,0,2,0.3285714238775511,0.9999990000010001,1.0,8.0,0.0,0.0,0.9999990000010001,0.19332991690029042,3.257142857142857,5.5,7.4,8.28,0.12499998437500197
2020-12-13,Estadio Bellavista de Ambato,CSD Macara,LDU de Quito,3 - 4,2,5,0.0,0.0,0.52,0.48,2.0,1.0,5,2,9.0,5.0,6.0,3.0,15.0,8.0,1.0,6.0,22.0,14.0,1.0,1.0,1.0,1.0,63.0,38.0,101.0,88.0,36.0,7,0.0,7.0,7,4.4363636363636365,4.746031746031746,4.809523809523809,4.345454545454546,4.591197691197691,-0.3731601731601728,14,5,5.0,5.5,1,1,1.6578946932132976,0.5555554938271674,5.0,5.5,0.0,0.0,0.99999980000004,0.966649584501452,4.4363636363636365,9.0,2.25,32.76,0.909090743801683
2020-12-13,Estadio Banco del Pacífico George Capwell,Emelec,El Nacional,3 - 0,4,3,0.0,0.0,0.63,0.37,3.0,2.0,9,3,7.0,4.0,2.0,4.0,9.0,8.0,4.0,4.0,17.0,14.0,1.0,0.0,0.0,1.0,55.0,35.0,88.0,77.0,31.0,7,0.0,7.0,12,6.345454545454546,4.085106382978723,5.574468085106383,3.418181818181818,5.215280464216635,0.7709864603481629,4,2,8.0,5.5,2,1,1.5714285265306136,1.2857141020408425,8.0,5.5,0.0,0.0,0.9999998750000157,1.5466393352023233,7.0,8.0,5.0,34.65,1.4545451900826927
