local,visitante,fecha,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,faltas_local,faltas_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,local_encoded,visitante_encoded,tarjetas_totales,score
LDU de Quito,Barcelona SC,2020-12-30,2,4,0.0,0.0,0.62,0.38,14.0,12.0,7.0,6.0,5,0,6.0,0 - 0
Emelec,CD Olmedo,2020-12-20,4,4,0.0,0.0,0.63,0.37,19.0,15.0,13.0,3.0,4,1,8.0,4 - 1
Orense SC,El Nacional,2020-12-20,3,1,0.0,0.0,0.48,0.52,13.0,21.0,7.0,8.0,15,2,4.0,1 - 0
CD Olmedo,LDU Portoviejo,2020-12-17,5,1,0.0,0.0,0.45,0.55,16.0,9.0,3.0,4.0,1,3,6.0,1 - 3
Deportivo Cuenca,Emelec,2020-12-16,6,2,1.0,0.0,0.37,0.63,18.0,17.0,4.0,6.0,10,4,9.0,2 - 1
Delfin,LDU de Quito,2020-12-16,1,1,0.0,0.0,0.38,0.62,22.0,18.0,4.0,2.0,9,5,2.0,2 - 0
Barcelona SC,Mushuc Runa SC,2020-12-16,2,5,0.0,0.0,0.53,0.47,20.0,15.0,10.0,3.0,0,6,7.0,3 - 0
Guayaquil City,Independiente del Valle,2020-12-13,4,3,1.0,0.0,0.36,0.64,15.0,15.0,1.0,17.0,11,7,8.0,0 - 2
CSD Macara,LDU de Quito,2020-12-13,2,5,0.0,0.0,0.52,0.48,22.0,14.0,9.0,5.0,14,5,7.0,3 - 4
Emelec,El Nacional,2020-12-13,4,3,0.0,0.0,0.63,0.37,17.0,14.0,7.0,4.0,4,2,7.0,3 - 0
LDU Portoviejo,Mushuc Runa SC,2020-12-12,2,4,0.0,0.0,0.6,0.4,22.0,18.0,3.0,1.0,3,6,6.0,0 - 0
Orense SC,CD Tecnico Universitario,2020-12-12,4,1,0.0,0.0,0.54,0.46,20.0,17.0,2.0,4.0,15,8,5.0,1 - 0
Universidad Catolica,Delfin,2020-12-11,4,1,0.0,0.0,0.73,0.27,13.0,16.0,4.0,2.0,13,9,5.0,0 - 0
CD Olmedo,Deportivo Cuenca,2020-12-11,4,4,0.0,0.0,0.56,0.44,20.0,20.0,4.0,8.0,1,10,8.0,1 - 1
Barcelona SC,Guayaquil City,2020-12-10,2,3,0.0,0.0,0.54,0.46,13.0,18.0,5.0,4.0,0,11,5.0,2 - 0
Independiente del Valle,Emelec,2020-12-09,3,2,0.0,0.0,0.62,0.38,16.0,5.0,11.0,0.0,7,4,5.0,3 - 0
LDU de Quito,LDU Portoviejo,2020-12-09,4,3,1.0,0.0,0.72,0.28,13.0,16.0,7.0,6.0,5,3,8.0,1 - 1
El Nacional,Aucas,2020-12-09,1,2,0.0,0.0,0.5,0.5,20.0,15.0,5.0,8.0,2,12,3.0,2 - 2
Delfin,CD Olmedo,2020-12-09,3,2,0.0,0.0,0.5,0.5,25.0,24.0,4.0,7.0,9,1,5.0,3 - 1
CD Tecnico Universitario,Universidad Catolica,2020-12-08,0,2,0.0,0.0,0.51,0.49,14.0,15.0,4.0,5.0,8,13,2.0,1 - 0
Deportivo Cuenca,CSD Macara,2020-12-08,5,2,0.0,0.0,0.4,0.6,17.0,11.0,4.0,6.0,10,14,7.0,2 - 1
Mushuc Runa SC,Orense SC,2020-12-08,0,3,0.0,0.0,0.68,0.32,15.0,13.0,6.0,1.0,6,15,3.0,0 - 0
Emelec,Barcelona SC,2020-12-06,4,1,0.0,0.0,0.48,0.52,20.0,9.0,4.0,6.0,4,0,5.0,1 - 1
Guayaquil City,LDU Portoviejo,2020-12-06,2,2,0.0,0.0,0.58,0.42,15.0,23.0,7.0,3.0,11,3,4.0,3 - 1
Independiente del Valle,El Nacional,2020-12-06,2,3,0.0,0.0,0.51,0.49,23.0,16.0,4.0,6.0,7,2,5.0,2 - 0
Universidad Catolica,LDU de Quito,2020-12-06,3,2,1.0,0.0,0.42,0.58,15.0,13.0,6.0,5.0,13,5,6.0,2 - 0
Orense SC,Delfin,2020-12-05,1,2,0.0,0.0,0.48,0.52,20.0,8.0,3.0,6.0,15,9,3.0,1 - 1
Deportivo Cuenca,Mushuc Runa SC,2020-12-04,3,2,0.0,0.0,0.4,0.6,19.0,20.0,2.0,6.0,10,6,5.0,1 - 0
CD Olmedo,CD Tecnico Universitario,2020-12-04,3,3,0.0,0.0,0.47,0.53,11.0,13.0,3.0,3.0,1,8,6.0,0 - 0
Barcelona SC,CSD Macara,2020-11-29,2,1,0.0,0.0,0.55,0.45,15.0,19.0,5.0,1.0,0,14,3.0,3 - 0
LDU Portoviejo,Universidad Catolica,2020-11-29,3,3,1.0,0.0,0.5,0.5,17.0,11.0,7.0,5.0,3,13,7.0,2 - 1
Aucas,Orense SC,2020-11-29,2,1,0.0,0.0,0.54,0.46,20.0,11.0,6.0,8.0,12,15,3.0,4 - 1
CD Tecnico Universitario,Deportivo Cuenca,2020-11-28,2,1,0.0,0.0,0.61,0.39,11.0,9.0,4.0,1.0,8,10,3.0,1 - 1
Mushuc Runa SC,Emelec,2020-11-27,3,4,0.0,0.0,0.57,0.43,15.0,18.0,7.0,8.0,6,4,7.0,2 - 3
LDU de Quito,CD Olmedo,2020-11-27,0,4,0.0,0.0,0.45,0.55,17.0,12.0,8.0,3.0,5,1,4.0,3 - 0
CSD Macara,LDU Portoviejo,2020-11-23,3,3,0.0,0.0,0.52,0.48,18.0,15.0,8.0,4.0,14,3,6.0,1 - 0
Orense SC,Barcelona SC,2020-11-23,4,3,0.0,0.0,0.4,0.6,25.0,16.0,0.0,7.0,15,0,7.0,0 - 0
